waktu,text_asli,terjemahan,negara,akun,clean,normal,tokens,stem,final_text,skor,label,punya_emoji,label_sebelum_sarkas
2025-01-04T20:07:35.000Z,"In plaats dat een dief je portemonnee steelt, steelt die je blikje cola.","Alih-alih pencuri mencuri dompet Anda, dia malah mencuri kaleng Coca-Cola Anda.",Belanda,defanoholwijn,alih alih pencuri mencuri dompet anda dia malah mencuri kaleng coca cola anda,alih alih pencuri mencuri dompet anda dia malah mencuri kaleng coca cola anda,"['alih', 'alih', 'pencuri', 'mencuri', 'dompet', 'malah', 'mencuri', 'kaleng', 'coca', 'cola']","['alih', 'alih', 'curi', 'curi', 'dompet', 'malah', 'curi', 'kaleng', 'coca', 'cola']",alih alih curi curi dompet malah curi kaleng coca cola,-15,negatif,FALSE,negatif
2025-01-05T11:41:52.000Z,Binnenkort bij belasting aangifte hoeveel flessen heb je in huis moet je dat aangeven aan de belasting dienst. Dan betaal je belasting over je statiegeld 😂,"Segera setelah Anda mengajukan pengembalian pajak, Anda harus menyatakan berapa banyak botol yang Anda miliki di rumah kepada otoritas pajak. Kemudian Anda membayar pajak atas deposit Anda 😂",Belanda,defanoholwijn,segera setelah anda mengajukan pengembalian pajak anda harus menyatakan berapa banyak botol yang anda miliki di rumah kepada otoritas pajak kemudian anda membayar pajak atas deposit anda,segera setelah anda mengajukan pengembalian pajak anda harus menyatakan berapa banyak botol yang anda miliki di rumah kepada otoritas pajak kemudian anda membayar pajak atas deposit anda,"['segera', 'mengajukan', 'pengembalian', 'pajak', 'menyatakan', 'berapa', 'banyak', 'botol', 'miliki', 'rumah', 'otoritas', 'pajak', 'kemudian', 'membayar', 'pajak', 'atas', 'deposit']","['segera', 'aju', 'kembali', 'pajak', 'nyata', 'berapa', 'banyak', 'botol', 'milik', 'rumah', 'otoritas', 'pajak', 'kemudian', 'bayar', 'pajak', 'atas', 'deposit']",segera aju kembali pajak nyata berapa banyak botol milik rumah otoritas pajak kemudian bayar pajak atas deposit,-1,negatif,TRUE,negatif
2025-01-05T00:56:36.000Z,Broski ik ga gwn van turkije importeren,"Broski, saya akan impor dari Turki",Belanda,defanoholwijn,broski saya akan impor dari turki,broski saya akan impor dari turki,"['broski', 'impor', 'turki']","['broski', 'impor', 'turki']",broski impor turki,0,netral,FALSE,netral
2025-01-04T23:40:29.000Z,ze gaan nog statiegeld op melk in plastic en limonadesiroop flessen gooien,mereka akan menyetor susu dalam botol plastik dan sirup limun,Belanda,defanoholwijn,mereka akan menyetor susu dalam botol plastik dan sirup limun,mereka akan menyetor susu dalam botol plastik dan sirup limun,"['menyetor', 'susu', 'botol', 'plastik', 'sirup', 'limun']","['setor', 'susu', 'botol', 'plastik', 'sirup', 'limun']",setor susu botol plastik sirup limun,-4,negatif,FALSE,negatif
2025-01-04T15:59:40.000Z,pff gwn avondwinkel tarieve💔,"pff, tarif toko malam gwn💔",Belanda,defanoholwijn,pff tarif toko malam gwn,pff tarif toko malam gwn,"['pff', 'tarif', 'toko', 'malam', 'gwn']","['pff', 'tarif', 'toko', 'malam', 'gwn']",pff tarif toko malam gwn,-1,negatif,TRUE,negatif
2025-01-05T10:45:20.000Z,ze denken wij hebben genoeg geld ofso 😂😂😂,mereka pikir kita punya cukup uang atau apalah 😂😂😂,Belanda,defanoholwijn,mereka pikir kita punya cukup uang atau apalah,mereka pikir kita punya cukup uang atau apalah,"['pikir', 'punya', 'cukup', 'uang', 'apalah']","['pikir', 'punya', 'cukup', 'uang', 'apa']",pikir punya cukup uang apa,-4,negatif,TRUE,negatif
2025-01-04T16:43:53.000Z,Legendes zeggen inbrekers nemen nu ook tas met lege flessen mee,Legenda mengatakan bahwa pencuri sekarang juga mengambil tas berisi botol kosong,Belanda,defanoholwijn,legenda mengatakan bahwa pencuri sekarang juga mengambil tas berisi botol kosong,legenda mengatakan bahwa pencuri sekarang juga mengambil tas berisi botol kosong,"['legenda', 'mengatakan', 'pencuri', 'sekarang', 'mengambil', 'tas', 'berisi', 'botol', 'kosong']","['legenda', 'kata', 'curi', 'sekarang', 'ambil', 'tas', 'isi', 'botol', 'kosong']",legenda kata curi sekarang ambil tas isi botol kosong,-13,negatif,FALSE,negatif
2025-01-04T15:27:34.000Z,kun je niet gewoon volle flesse in de machine doen terwijl je nog in de winkel staat,Anda tidak bisa begitu saja memasukkan satu botol penuh ke dalam mesin saat Anda masih berada di toko,Belanda,defanoholwijn,anda tidak bisa begitu saja memasukkan satu botol penuh ke dalam mesin saat anda masih berada di toko,anda tidak bisa begitu saja memasukkan satu botol penuh ke dalam mesin saat anda masih berada di toko,"['memasukkan', 'satu', 'botol', 'penuh', 'mesin', 'berada', 'toko']","['masuk', 'satu', 'botol', 'penuh', 'mesin', 'ada', 'toko']",masuk satu botol penuh mesin ada toko,4,positif,FALSE,positif
2025-03-20T00:04:16.000Z,Alles zelf persen thuis osso,Tekan semuanya sendiri di rumah Osso,Belanda,defanoholwijn,tekan semuanya sendiri di rumah osso,tekan semuanya sendiri di rumah osso,"['tekan', 'semuanya', 'sendiri', 'rumah', 'osso']","['tekan', 'semua', 'sendiri', 'rumah', 'osso']",tekan semua sendiri rumah osso,-2,negatif,FALSE,negatif
2025-03-31T10:51:55.000Z,ze doen het zelfde als bij de gulden 1 gulden per fles was dat namelijk.,"mereka melakukan hal yang sama dengan gulden, yaitu 1 gulden per botol.",Belanda,defanoholwijn,mereka melakukan hal yang sama dengan gulden yaitu gulden per botol,mereka melakukan hal yang sama dengan gulden yaitu gulden per botol,"['melakukan', 'sama', 'gulden', 'gulden', 'per', 'botol']","['laku', 'sama', 'gulden', 'gulden', 'per', 'botol']",laku sama gulden gulden per botol,3,positif,FALSE,positif
2025-05-15T17:07:47.000Z,Heb jij statiegeld voor mij ik ben arm,"Apakah Anda memiliki deposit untuk saya, saya miskin",Belanda,defanoholwijn,apakah anda memiliki deposit untuk saya saya miskin,apakah anda memiliki deposit untuk saya saya miskin,"['memiliki', 'deposit', 'miskin']","['milik', 'deposit', 'miskin']",milik deposit miskin,-4,negatif,FALSE,negatif
2025-01-04T17:28:29.000Z,rijk zijn 😂😂😂😂😂😂,jadilah kaya 😂😂😂😂😂😂,Belanda,defanoholwijn,jadilah kaya,jadilah kaya,"['jadilah', 'kaya']","['jadi', 'kaya']",jadi kaya,3,positif,TRUE,positif
2025-02-25T20:30:34.000Z,money = power and thats why we all just numbers and get a ticket if we dont or cant show our identification,uang = kekuasaan dan itu sebabnya kita semua hanya nomor dan mendapat tiket jika kita tidak atau tidak bisa menunjukkan identitas kita,Belanda,defanoholwijn,uang kekuasaan dan itu sebabnya kita semua hanya nomor dan mendapat tiket jika kita tidak atau tidak bisa menunjukkan identitas kita,uang kekuasaan dan itu sebabnya kita semua hanya nomor dan mendapat tiket jika kita tidak atau tidak bisa menunjukkan identitas kita,"['uang', 'kekuasaan', 'sebabnya', 'semua', 'nomor', 'mendapat', 'tiket', 'menunjukkan', 'identitas']","['uang', 'kuasa', 'sebab', 'semua', 'nomor', 'dapat', 'tiket', 'tunjuk', 'identitas']",uang kuasa sebab semua nomor dapat tiket tunjuk identitas,5,positif,FALSE,positif
2025-01-05T11:51:04.000Z,"Gewoon niks meer inleveren, houden ze er vanzelf mee op 👍🏻","Hanya saja, jangan serahkan apa pun lagi, mereka akan berhenti melakukannya secara otomatis 👍🏻",Belanda,defanoholwijn,hanya saja jangan serahkan apa pun lagi mereka akan berhenti melakukannya secara otomatis,hanya saja jangan serahkan apa pun lagi mereka akan berhenti melakukannya secara otomatis,"['jangan', 'serahkan', 'apa', 'berhenti', 'melakukannya', 'otomatis']","['jangan', 'serah', 'apa', 'henti', 'laku', 'otomatis']",jangan serah apa henti laku otomatis,-9,negatif,TRUE,negatif
2025-02-28T09:39:41.000Z,Hoe pakken ze niet alleen ons geld maar ook ons tijd 😡,Bagaimana mereka tidak hanya mengambil uang kita tetapi juga waktu kita 😡,Belanda,defanoholwijn,bagaimana mereka tidak hanya mengambil uang kita tetapi juga waktu kita,bagaimana mereka tidak hanya mengambil uang kita tetapi juga waktu kita,"['bagaimana', 'mengambil', 'uang', 'waktu']","['bagaimana', 'ambil', 'uang', 'waktu']",bagaimana ambil uang waktu,-5,negatif,TRUE,negatif
2025-03-04T13:59:59.000Z,pov je doet de albert heijn method 🤑🤑,POV kamu melakukan metode Albert Heijn 🤑🤑,Belanda,defanoholwijn,pov kamu melakukan metode albert heijn,pov kamu melakukan metode albert heijn,"['pov', 'kamu', 'melakukan', 'metode', 'albert', 'heijn']","['pov', 'kamu', 'laku', 'metode', 'albert', 'heijn']",pov kamu laku metode albert heijn,-5,negatif,TRUE,negatif
2025-01-05T19:52:25.000Z,Echt super vaak krijg ik mijn statiegeld niet terug want het wordt niet gelezen ofzo 😱,Seringkali saya tidak mendapatkan deposit saya kembali karena tidak terbaca atau apalah 😱,Belanda,defanoholwijn,seringkali saya tidak mendapatkan deposit saya kembali karena tidak terbaca atau apalah,seringkali saya tidak mendapatkan deposit saya kembali karena tidak terbaca atau apalah,"['seringkali', 'mendapatkan', 'deposit', 'terbaca', 'apalah']","['seringkali', 'dapat', 'deposit', 'baca', 'apa']",seringkali dapat deposit baca apa,2,positif,TRUE,positif
2025-01-05T15:26:40.000Z,Broer elke zwerver straks rijk,"Saudaraku, setiap pengembara akan segera menjadi kaya",Belanda,defanoholwijn,saudaraku setiap pengembara akan segera menjadi kaya,saudaraku setiap pengembara akan segera menjadi kaya,"['saudaraku', 'pengembara', 'segera', 'menjadi', 'kaya']","['saudara', 'embara', 'segera', 'jadi', 'kaya']",saudara embara segera jadi kaya,6,positif,FALSE,positif
2025-01-04T17:47:42.000Z,Wnr komt die regel,Kapan garis itu akan datang,Belanda,defanoholwijn,kapan garis itu akan datang,kapan garis itu akan datang,"['kapan', 'garis', 'datang']","['kapan', 'garis', 'datang']",kapan garis datang,-7,negatif,FALSE,negatif
2025-01-05T14:36:32.000Z,Drink water uit de kraan 😂,Minumlah air dari keran 😂,Belanda,defanoholwijn,minumlah air dari keran,minumlah air dari keran,"['minumlah', 'air', 'keran']","['minum', 'air', 'keran']",minum air keran,-8,negatif,TRUE,negatif
2025-01-05T09:51:01.000Z,welkom bij de roverheid !,selamat datang di pemerintah!,Belanda,defanoholwijn,selamat datang di pemerintah,selamat datang di pemerintah,"['selamat', 'datang', 'pemerintah']","['selamat', 'datang', 'perintah']",selamat datang perintah,1,positif,FALSE,positif
2025-01-04T20:34:08.000Z,im not rich BUT I LIVE LIKE A MILJONAIR,aku tidak kaya TAPI SAYA HIDUP SEPERTI MILJONAIR,Belanda,defanoholwijn,aku tidak kaya tapi saya hidup seperti miljonair,aku tidak kaya tapi saya hidup seperti miljonair,"['aku', 'kaya', 'hidup', 'miljonair']","['aku', 'kaya', 'hidup', 'miljonair']",aku kaya hidup miljonair,6,positif,FALSE,positif
2025-01-05T16:13:40.000Z,sparen🥳,simpan🥳,Belanda,defanoholwijn,simpan,simpan,['simpan'],['simpan'],simpan,-3,negatif,TRUE,negatif
2025-01-05T17:18:32.000Z,en mensen die weinig te besteden hebben krijgen het nog moeilijker 😫😫😫,dan orang yang mempunyai sedikit uang untuk dibelanjakan akan mengalami masa yang lebih sulit 😫😫😫,Belanda,defanoholwijn,dan orang yang mempunyai sedikit uang untuk dibelanjakan akan mengalami masa yang lebih sulit,dan orang yang mempunyai sedikit uang untuk dibelanjakan akan mengalami masa yang lebih sulit,"['orang', 'mempunyai', 'sedikit', 'uang', 'dibelanjakan', 'mengalami', 'masa', 'lebih', 'sulit']","['orang', 'punya', 'sedikit', 'uang', 'belanja', 'alami', 'masa', 'lebih', 'sulit']",orang punya sedikit uang belanja alami masa lebih sulit,-1,negatif,TRUE,negatif
2025-01-04T20:55:11.000Z,underrated comment,komentar yang diremehkan,Belanda,defanoholwijn,komentar yang diremehkan,komentar yang diremehkan,"['komentar', 'diremehkan']","['komentar', 'remeh']",komentar remeh,4,positif,FALSE,positif
2025-01-07T12:02:55.000Z,"Ik heb al een waterfles. Maar wat als ik iets zoals een redbull of monster wil halen, dat zijn alleen maar blikjes 😭",Saya sudah punya botol air. Tapi bagaimana jika saya ingin mendapatkan sesuatu seperti redbull atau monster yang hanya kalengan 😭,Belanda,defanoholwijn,saya sudah punya botol air tapi bagaimana jika saya ingin mendapatkan sesuatu seperti redbull atau monster yang hanya kalengan,saya sudah punya botol air tapi bagaimana jika saya ingin mendapatkan sesuatu seperti redbull atau monster yang hanya kalengan,"['punya', 'botol', 'air', 'bagaimana', 'mendapatkan', 'redbull', 'monster', 'kalengan']","['punya', 'botol', 'air', 'bagaimana', 'dapat', 'redbull', 'monster', 'kaleng']",punya botol air bagaimana dapat redbull monster kaleng,4,positif,TRUE,positif
2025-01-07T09:31:46.000Z,het doel is dat je juist minder wegwerp dingen koopt. Neem bijvoorbeeld een flesje waarbij je dat wel kan maar ook kan hervullen xx,"tujuannya adalah agar Anda membeli lebih sedikit barang sekali pakai. Ambil contoh, sebuah botol di mana Anda bisa melakukan itu tetapi juga mengisinya kembali xx",Belanda,defanoholwijn,tujuannya adalah agar anda membeli lebih sedikit barang sekali pakai ambil contoh sebuah botol di mana anda bisa melakukan itu tetapi juga mengisinya kembali xx,tujuannya adalah agar anda membeli lebih sedikit barang sekali pakai ambil contoh sebuah botol di mana anda bisa melakukan itu tetapi juga mengisinya kembali xx,"['tujuannya', 'membeli', 'lebih', 'sedikit', 'barang', 'sekali', 'pakai', 'ambil', 'contoh', 'sebuah', 'botol', 'mana', 'melakukan', 'mengisinya', 'xx']","['tuju', 'beli', 'lebih', 'sedikit', 'barang', 'sekali', 'pakai', 'ambil', 'contoh', 'buah', 'botol', 'mana', 'laku', 'isi', 'xx']",tuju beli lebih sedikit barang sekali pakai ambil contoh buah botol mana laku isi xx,-1,negatif,FALSE,negatif
2025-01-05T12:34:39.000Z,Hoe bedoel je?,Apa maksudmu?,Belanda,defanoholwijn,apa maksudmu,apa maksudmu,"['apa', 'maksudmu']","['apa', 'maksud']",apa maksud,0,netral,FALSE,netral
2025-01-05T10:36:32.000Z,moet je het niet op school kopen,kamu tidak boleh membelinya di sekolah,Belanda,defanoholwijn,kamu tidak boleh membelinya di sekolah,kamu tidak boleh membelinya di sekolah,"['kamu', 'membelinya', 'sekolah']","['kamu', 'bel', 'sekolah']",kamu bel sekolah,3,positif,FALSE,positif
2025-01-05T08:49:55.000Z,Wat je verkoopt moet je ook innemen.,Apa yang Anda jual juga harus Anda ambil.,Belanda,defanoholwijn,apa yang anda jual juga harus anda ambil,apa yang anda jual juga harus anda ambil,"['apa', 'jual', 'ambil']","['apa', 'jual', 'ambil']",apa jual ambil,-7,negatif,FALSE,negatif
2025-01-05T00:02:16.000Z,dan betaal je nog steeds statiegeld,maka Anda tetap membayar deposit,Belanda,defanoholwijn,maka anda tetap membayar deposit,maka anda tetap membayar deposit,"['tetap', 'membayar', 'deposit']","['tetap', 'bayar', 'deposit']",tetap bayar deposit,4,positif,FALSE,positif
2025-01-05T00:03:52.000Z,Je snapt het niet,Anda tidak mengerti,Belanda,defanoholwijn,anda tidak mengerti,anda tidak mengerti,['mengerti'],['erti'],erti,2,positif,FALSE,positif
2025-01-05T00:21:46.000Z,ohh hij bedoelt stelen ofzo,ohh maksudnya mencuri atau apalah,Belanda,defanoholwijn,ohh maksudnya mencuri atau apalah,oh maksudnya mencuri atau apalah,"['maksudnya', 'mencuri', 'apalah']","['maksud', 'curi', 'apa']",maksud curi apa,-5,negatif,FALSE,negatif
2025-01-05T00:29:44.000Z,goedzo Chris😆,baiklah Chris😆,Belanda,defanoholwijn,baiklah chris,baiklah chris,"['baiklah', 'chris']","['baik', 'chris']",baik chris,3,positif,TRUE,positif
2025-01-05T21:43:21.000Z,"Nouja als het zo door blijft gaan , maybe wel ja","Nah, kalau terus seperti ini, mungkin iya",Belanda,defanoholwijn,nah kalau terus seperti ini mungkin iya,nah kalau terus seperti ini mungkin iya,"['nah', 'kalau', 'terus', 'mungkin', 'iya']","['nah', 'kalau', 'terus', 'mungkin', 'iya']",nah kalau terus mungkin iya,-2,negatif,FALSE,negatif
2025-01-05T09:29:28.000Z,kanspareltje?,kanspareltje?,Belanda,defanoholwijn,kanspareltje,kanspareltje,['kanspareltje'],['kanspareltje'],kanspareltje,0,netral,FALSE,netral
2025-01-05T19:32:49.000Z,tip voor de toekomst in poolse/buitenlandse winkels zit er geen statie geld op flessen,Tip untuk masa depan: di toko Polandia/asing tidak ada deposit untuk botol,Belanda,defanoholwijn,tip untuk masa depan di toko polandia asing tidak ada deposit untuk botol,tip untuk masa depan di toko polandia asing tidak ada deposit untuk botol,"['tip', 'masa', 'depan', 'toko', 'polandia', 'asing', 'deposit', 'botol']","['tip', 'masa', 'depan', 'toko', 'polandia', 'asing', 'deposit', 'botol']",tip masa depan toko polandia asing deposit botol,4,positif,FALSE,positif
2025-01-04T23:19:10.000Z,IK WORDT RIIIIIJK,AKU MENDAPATKAN RIIIY,Belanda,defanoholwijn,aku mendapatkan riiiy,aku mendapatkan riiiy,"['aku', 'mendapatkan', 'riiiy']","['aku', 'dapat', 'riiiy']",aku dapat riiiy,4,positif,FALSE,positif
2025-01-05T14:00:58.000Z,"Klopt Belasting gaan betalen, bij inlevering van x bedrag 😉😉😉","Benar, mulailah membayar pajak ketika Anda menyerahkan jumlah x 😉😉😉",Belanda,defanoholwijn,benar mulailah membayar pajak ketika anda menyerahkan jumlah x,benar mulailah membayar pajak ketika anda menyerahkan jumlah x,"['benar', 'mulailah', 'membayar', 'pajak', 'menyerahkan', 'jumlah', 'x']","['benar', 'mulai', 'bayar', 'pajak', 'serah', 'jumlah', 'x']",benar mulai bayar pajak serah jumlah x,3,positif,TRUE,positif
2025-01-05T03:13:57.000Z,3Liter cola fles in Amerika kost 2 dolar 💀,Sebotol coke 3 liter di Amerika harganya 2 dolar 💀,Belanda,defanoholwijn,sebotol coke liter di amerika harganya dolar,sebotol coke liter di amerika harganya dolar,"['sebotol', 'coke', 'liter', 'amerika', 'harganya', 'dolar']","['botol', 'coke', 'liter', 'amerika', 'harga', 'dolar']",botol coke liter amerika harga dolar,3,positif,TRUE,positif
2025-01-25T21:43:32.000Z,lol,tertawa terbahak-bahak,Belanda,defanoholwijn,tertawa terbahak bahak,tertawa terbahak bahak,"['tertawa', 'terbahak', 'bahak']","['tertawa', 'bahak', 'bahak']",tertawa bahak bahak,5,positif,FALSE,positif
2025-01-25T02:06:52.000Z,zie niemand met 2 liter fles lopen in de stad,Saya tidak melihat siapa pun berjalan keliling kota dengan botol 2 liter,Belanda,defanoholwijn,saya tidak melihat siapa pun berjalan keliling kota dengan botol liter,saya tidak melihat siapa pun berjalan keliling kota dengan botol liter,"['melihat', 'siapa', 'berjalan', 'keliling', 'kota', 'botol', 'liter']","['lihat', 'siapa', 'jalan', 'keliling', 'kota', 'botol', 'liter']",lihat siapa jalan keliling kota botol liter,3,positif,FALSE,positif
2025-01-07T23:05:18.000Z,ik zeg eerlijk bent best mooi,"Jujur saja, itu cukup indah",Belanda,defanoholwijn,jujur saja itu cukup indah,jujur saja itu cukup indah,"['jujur', 'cukup', 'indah']","['jujur', 'cukup', 'indah']",jujur cukup indah,2,positif,FALSE,positif
2025-01-06T07:36:03.000Z,breng ze niet op ideëen 😭,jangan beri mereka ide 😭,Belanda,defanoholwijn,jangan beri mereka ide,jangan beri mereka ide,"['jangan', 'beri', 'ide']","['jangan', 'beri', 'ide']",jangan beri ide,-5,negatif,TRUE,negatif
2025-01-06T00:38:37.000Z,je heb gelijk,kamu benar,Belanda,defanoholwijn,kamu benar,kamu benar,"['kamu', 'benar']","['kamu', 'benar']",kamu benar,2,positif,FALSE,positif
2025-01-05T13:14:46.000Z,en waarom zou dat erg zijn?,dan mengapa itu menjadi hal yang buruk?,Belanda,defanoholwijn,dan mengapa itu menjadi hal yang buruk,dan mengapa itu menjadi hal yang buruk,"['menjadi', 'buruk']","['jadi', 'buruk']",jadi buruk,-4,negatif,FALSE,negatif
2025-01-05T12:56:05.000Z,Ze worden wel weg gegooid bij het normale vuil,Mereka dibuang bersama sampah biasa,Belanda,defanoholwijn,mereka dibuang bersama sampah biasa,mereka dibuang bersama sampah biasa,"['dibuang', 'bersama', 'sampah', 'biasa']","['buang', 'sama', 'sampah', 'biasa']",buang sama sampah biasa,-2,negatif,FALSE,negatif
2025-01-05T11:55:35.000Z,breng ze niet op ideeen,jangan beri mereka ide,Belanda,defanoholwijn,jangan beri mereka ide,jangan beri mereka ide,"['jangan', 'beri', 'ide']","['jangan', 'beri', 'ide']",jangan beri ide,-5,negatif,FALSE,negatif
2025-01-05T02:53:08.000Z,Melk ook niet,Susu juga tidak,Belanda,defanoholwijn,susu juga tidak,susu juga tidak,['susu'],['susu'],susu,-4,negatif,FALSE,negatif
2025-01-04T23:59:06.000Z,Neem je wasmiddel mee nr het park 😂,Bawalah deterjen Anda ke taman 😂,Belanda,defanoholwijn,bawalah deterjen anda ke taman,bawalah deterjen anda ke taman,"['bawalah', 'deterjen', 'taman']","['bawa', 'deterjen', 'taman']",bawa deterjen taman,2,positif,TRUE,positif
2025-01-04T23:08:31.000Z,😬🤫🤫🤫😶ssstttt!!!,😬🤫🤫🤫😶ssstttt!!!,Belanda,defanoholwijn,ssstttt,ssstttt,['ssstttt'],['ssstttt'],ssstttt,0,netral,TRUE,netral
